genome,text_length,pattern_length,k,source_start,source_found,algorithm_key,algorithm,runtime_sec,num_matches,matches_preview
GCF_000005845.2,1000,12,0,333,True,brute_force,Brute Force with k mismatches,0.00022475299920188263,1,[333]
GCF_000005845.2,1000,12,0,333,True,rabin_karp,Rabin-Karp with Verification,0.001401389999955427,1,[333]
GCF_000005845.2,1000,12,0,333,True,kmp,KMP-based Filtering + Verification,0.00016112699995574076,1,[333]
GCF_000005845.2,1000,12,0,333,True,boyer_moore,Boyer-Moore with Verification,0.00022908299979462754,1,[333]
GCF_000005845.2,1000,12,0,333,True,suffix_array,Suffix Array with Candidate Verification,0.0009124930002144538,1,[333]
GCF_000005845.2,1000,12,0,333,True,suffix_tree,Suffix Tree with Backtracking,0.004448548999789637,1,[333]
GCF_000005845.2,1000,12,1,333,True,brute_force,Brute Force with k mismatches,0.0002978079992317362,1,[333]
GCF_000005845.2,1000,12,1,333,True,rabin_karp,Rabin-Karp with Verification,0.001316182000664412,1,[333]
GCF_000005845.2,1000,12,1,333,True,kmp,KMP-based Filtering + Verification,0.00022384600015357137,1,[333]
GCF_000005845.2,1000,12,1,333,True,boyer_moore,Boyer-Moore with Verification,0.0004125599989492912,1,[333]
GCF_000005845.2,1000,12,1,333,True,suffix_array,Suffix Array with Candidate Verification,0.001128584999605664,1,[333]
GCF_000005845.2,1000,12,1,333,True,suffix_tree,Suffix Tree with Backtracking,0.005668068999511888,1,[333]
GCF_000005845.2,1000,12,2,333,True,brute_force,Brute Force with k mismatches,0.0005723590002162382,1,[333]
GCF_000005845.2,1000,12,2,333,True,rabin_karp,Rabin-Karp with Verification,0.0015400270003738115,1,[333]
GCF_000005845.2,1000,12,2,333,True,kmp,KMP-based Filtering + Verification,0.0003411110010347329,1,[333]
GCF_000005845.2,1000,12,2,333,True,boyer_moore,Boyer-Moore with Verification,0.0005062889995315345,1,[333]
GCF_000005845.2,1000,12,2,333,True,suffix_array,Suffix Array with Candidate Verification,0.000968156000453746,1,[333]
GCF_000005845.2,1000,12,2,333,True,suffix_tree,Suffix Tree with Backtracking,0.0043557980006880825,1,[333]
GCF_000005845.2,1000,24,0,333,True,brute_force,Brute Force with k mismatches,0.00020366100034152623,1,[333]
GCF_000005845.2,1000,24,0,333,True,rabin_karp,Rabin-Karp with Verification,0.0008051439999690047,1,[333]
GCF_000005845.2,1000,24,0,333,True,kmp,KMP-based Filtering + Verification,0.00010804700104927178,1,[333]
GCF_000005845.2,1000,24,0,333,True,boyer_moore,Boyer-Moore with Verification,0.00011279499994998332,1,[333]
GCF_000005845.2,1000,24,0,333,True,suffix_array,Suffix Array with Candidate Verification,0.0006783809985790867,1,[333]
GCF_000005845.2,1000,24,0,333,True,suffix_tree,Suffix Tree with Backtracking,0.004644037999241846,1,[333]
GCF_000005845.2,1000,24,1,333,True,brute_force,Brute Force with k mismatches,0.00030395499925361946,1,[333]
GCF_000005845.2,1000,24,1,333,True,rabin_karp,Rabin-Karp with Verification,0.0011269780006841756,1,[333]
GCF_000005845.2,1000,24,1,333,True,kmp,KMP-based Filtering + Verification,0.00020533699898805935,1,[333]
GCF_000005845.2,1000,24,1,333,True,boyer_moore,Boyer-Moore with Verification,0.00023523000163550023,1,[333]
GCF_000005845.2,1000,24,1,333,True,suffix_array,Suffix Array with Candidate Verification,0.0008846250002534362,1,[333]
GCF_000005845.2,1000,24,1,333,True,suffix_tree,Suffix Tree with Backtracking,0.003936604000045918,1,[333]
GCF_000005845.2,1000,24,2,333,True,brute_force,Brute Force with k mismatches,0.00037805799911438953,1,[333]
GCF_000005845.2,1000,24,2,333,True,rabin_karp,Rabin-Karp with Verification,0.0014629220004280796,1,[333]
GCF_000005845.2,1000,24,2,333,True,kmp,KMP-based Filtering + Verification,0.00032812000063131563,1,[333]
GCF_000005845.2,1000,24,2,333,True,boyer_moore,Boyer-Moore with Verification,0.0005227720012044301,1,[333]
GCF_000005845.2,1000,24,2,333,True,suffix_array,Suffix Array with Candidate Verification,0.0011456969987193588,1,[333]
GCF_000005845.2,1000,24,2,333,True,suffix_tree,Suffix Tree with Backtracking,0.0038935100001253886,1,[333]
GCF_000005845.2,1000,48,0,333,True,brute_force,Brute Force with k mismatches,0.00018592100059322547,1,[333]
GCF_000005845.2,1000,48,0,333,True,rabin_karp,Rabin-Karp with Verification,0.0008855340001900913,1,[333]
GCF_000005845.2,1000,48,0,333,True,kmp,KMP-based Filtering + Verification,0.00010399600068922155,1,[333]
GCF_000005845.2,1000,48,0,333,True,boyer_moore,Boyer-Moore with Verification,0.00015100000018719584,1,[333]
GCF_000005845.2,1000,48,0,333,True,suffix_array,Suffix Array with Candidate Verification,0.0007297150004887953,1,[333]
GCF_000005845.2,1000,48,0,333,True,suffix_tree,Suffix Tree with Backtracking,0.005130141998961335,1,[333]
